open_time,close_time,open,high,low,close,volume,quote_volume,num_trades,close_frac_diff
2022-05-10 05:59:59.999,2022-05-10 06:59:59.999,31827.87,32658.99,31810.6,32080.02,10314.408190000002,333043967.3529849,137637,3092.2772907841463
2022-05-10 06:59:59.999,2022-05-10 08:24:59.999,32080.02,32204.08,31540.72,31796.22,10271.86938,327271508.0035931,148049,2719.500782404408
2022-05-10 08:24:59.999,2022-05-10 09:49:59.999,31796.22,32016.66,31313.13,31553.44,9967.66892,315977472.6084731,143727,2499.1785470472278
2022-05-10 09:49:59.999,2022-05-10 11:34:59.999,31553.44,31696.62,31240.0,31610.02,10383.683699999998,326379607.4420874,154440,2611.643466024929
2022-05-10 11:34:59.999,2022-05-10 13:04:59.999,31610.02,32336.84,31518.17,32293.68,10081.76358,321046209.76344943,156117,3311.0947448906445
2022-05-10 13:04:59.999,2022-05-10 14:19:59.999,32293.68,32383.8,31540.0,31833.39,9912.27512,316383254.167674,157859,2730.2634608894514
2022-05-10 14:19:59.999,2022-05-10 15:24:59.999,31833.39,31863.42,30819.98,31060.53,10617.42607,331104886.4718125,149760,2010.427684418406
2022-05-10 15:24:59.999,2022-05-10 17:24:59.999,31060.53,31536.12,30962.9,31330.79,10188.731459999997,318387870.0084626,158131,2454.601296078261
2022-05-10 17:24:59.999,2022-05-10 20:39:59.999,31330.79,31805.15,30977.1,31074.69,10039.486550000001,316238988.51753366,199466,2220.5160100284484
2022-05-10 20:39:59.999,2022-05-10 22:39:59.999,31074.69,31152.28,30147.78,30422.01,10494.38421,321572671.3398482,183569,1647.464035395271
2022-05-10 22:39:59.999,2022-05-11 01:19:59.999,30422.01,31348.91,30370.01,30912.2,10221.202659999999,317000940.06032073,179718,2314.1781031244936
2022-05-11 01:19:59.999,2022-05-11 04:19:59.999,30912.2,31691.89,30626.22,31167.88,10276.181259999998,320751205.4096686,195924,2559.322746091493
2022-05-11 04:19:59.999,2022-05-11 06:09:59.999,31167.88,31888.85,31049.25,31464.2,10187.624990000002,320539874.43358624,170830,2826.353652295573
2022-05-11 06:09:59.999,2022-05-11 07:14:59.999,31464.2,31482.88,30266.56,30450.01,10420.348570000002,320589133.0188882,149036,1757.1040947122929
2022-05-11 07:14:59.999,2022-05-11 08:14:59.999,30450.01,30963.98,30200.0,30947.85,10749.648350000001,327896858.78272307,159853,2445.8364347772876
2022-05-11 08:14:59.999,2022-05-11 09:34:59.999,30947.85,31595.17,30636.33,31582.14,10817.21053,336374928.04560214,163505,3061.7298418106366
2022-05-11 09:34:59.999,2022-05-11 11:04:59.999,31582.14,32162.59,31431.4,31610.21,10014.743949999998,318213097.89461446,175033,2976.9664797294245
